Data point,Count,Police Shooting rate,Population,"Total Crime per 10,0000","Violent Crime per 10,0000","Property Crime per 10,0000",Murder,Rape*,Robbery,assault,Burglary,Theft,Car Theft,Land area,Gun rate,Joined year
AZ 2015,42.0000,6.1606,6817565.0000,3449.2000,410.2000,3039.0000,4.5000,33.3000,93.3000,266.9000,557.5000,2235.2000,246.2000,113642.0000,0.3230,1912
AZ 2016,45.0000,6.5136,6908642.0000,3471.8000,471.0000,3000.8000,5.6000,47.8000,102.0000,315.6000,553.2000,2180.1000,267.5000,113642.0000,0.3230,1912
AZ 2017,39.0000,5.5328,7048876.0000,3414.0000,505.7000,2908.3000,6.0000,51.4000,105.5000,342.8000,535.1000,2103.2000,269.9000,113642.0000,0.3230,1912
AZ 2018,49.0000,6.8455,7158024.0000,3168.2000,475.7000,2692.5000,5.4000,50.4000,90.9000,329.1000,444.1000,1980.8000,267.6000,113642.0000,0.3230,1912
AZ 2019,31.0000,4.2590,7278717.0000,2895.8000,455.3000,2440.5000,5.0000,50.3000,88.1000,311.9000,394.3000,1796.9000,249.4000,113642.0000,0.3230,1912
CA 2015,182.0000,4.6674,38993940.0000,3056.4000,428.0000,2628.4000,4.8000,24.0000,135.6000,254.8000,506.2000,1683.6000,438.5000,155973.0000,0.2010,1850
CA 2016,127.0000,3.2318,39296476.0000,2994.8000,444.8000,2550.0000,4.9000,34.9000,139.4000,265.6000,479.2000,1621.0000,449.8000,155973.0000,0.2010,1850
CA 2017,143.0000,3.6295,39399349.0000,2958.6000,453.3000,2505.3000,4.6000,37.4000,143.7000,267.6000,448.4000,1629.5000,427.3000,155973.0000,0.2010,1850
CA 2018,96.0000,2.4327,39461588.0000,2833.7000,447.5000,2386.2000,4.4000,39.3000,137.7000,266.2000,417.2000,1575.7000,393.3000,155973.0000,0.2010,1850
CA 2019,111.0000,2.8093,39512223.0000,2772.4000,441.2000,2331.2000,4.3000,37.5000,132.4000,267.1000,386.1000,1586.3000,358.8000,155973.0000,0.2010,1850
C0 2015,28.0000,5.1387,5448819.0000,2962.0000,318.4000,2643.6000,3.2000,44.4000,60.8000,193.3000,431.1000,1918.4000,294.0000,103730.0000,0.3430,1876
